,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
171,173," Anxiety grips my heart, worry clouds my thoughts.  ",Anxiety,2019-04-15 9:00:00,WorriedMind,Instagram,#Anxiety #Worry,12,25,UK,2019,4,15,9
172,174,Intimidation by the unknown future ahead.,Intimidation,2021-12-03 18:30:00,FearfulSoul,Facebook,#Intimidation #Fear,15,30,India,2021,12,3,18
173,175,Helplessness sinks in as challenges pile up.,Helplessness,2020-06-20 14:20:00,OverwhelmedHeart,Twitter,#Helplessness #Overwhelmed,8,15,Australia,2020,6,20,14
174,176,Envy eats away at me as I see others' prosperity.,Envy,2018-11-07 11:30:00,CovetousMind,Instagram,#Envy #Desire,10,20,Canada,2018,11,7,11
175,177,Regret over missed opportunities haunts my thoughts.,Regret,2017-08-25 16:00:00,RemorsefulSoul,Facebook,#Regret #MissedChances,12,25,UK,2017,8,25,16
176,178,Disgust at the sight of injustice and cruelty.,Disgust,2019-02-11 9:45:00,DisgustedHeart,Twitter,#Disgust #Injustice,7,15,India,2019,2,11,9
177,179," Drowning in despair, hope slipping through my fingers.",Despair,2016-04-02 20:20:00,HopelessHeart,Instagram,#Despair #Hopeless,10,20,USA,2016,4,2,20
178,180," Grief weighs heavy, tears a constant companion.    ",Grief,2015-10-18 15:30:00,TearfulSoul,Facebook,#Grief #Tears,12,25,Canada,2015,10,18,15
179,181," Loneliness in a crowded room, a silent cry for connection.",Loneliness,2019-07-12 18:10:00,IsolatedMind,Twitter,#Loneliness #SeekingConnection,15,30,UK,2019,7,12,18
180,182," Jealousy gnaws at my confidence, a toxic emotion.  ",Jealousy,2018-06-03 16:30:00,SelfDoubt,Instagram,#Jealousy #Insecurity,8,15,India,2018,6,3,16
181,183," Resentment festers, poisoning relationships.       ",Resentment,2022-01-15 12:00:00,BrokenTrust,Facebook,#Resentment #BrokenTrust,10,20,Australia,2022,1,15,12
182,184," Frustration boils over, a volcanic eruption of emotions.",Frustration,2017-04-10 14:45:00,ExplosiveMind,Twitter,#Frustration #EmotionalOutburst,12,25,USA,2017,4,10,14
183,185," Boredom settles like dust, life feels mundane.     ",Boredom,2016-11-28 19:00:00,MundaneHeart,Instagram,#Boredom #Monotony,7,15,Canada,2016,11,28,19
184,186," Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,2018-09-05 9:30:00,RestlessMind,Facebook,#Anxiety #Restlessness,10,20,UK,2018,9,5,9
185,187," Intimidation by the challenges ahead, fear takes hold.",Intimidation,2021-10-22 18:30:00,FearfulJourney,Twitter,#Intimidation #FacingFear,15,30,India,2021,10,22,18
186,188," Helplessness engulfs me, drowning in a sea of problems.",Helplessness,2019-05-08 14:20:00,OverwhelmedSoul,Instagram,#Helplessness #Struggling,8,15,Australia,2019,5,8,14
187,189," Envy poisons my thoughts, coveting others' success.",Envy,2017-03-20 11:30:00,GreenEyedMonster,Facebook,#Envy #Success,10,20,Canada,2017,3,20,11
188,190,Regret for decisions that led to a painful present.,Regret,2018-12-15 16:00:00,RegretfulMind,Twitter,#Regret #PastChoices,12,25,USA,2018,12,15,16
189,191,Disgust at the corruption that stains society.,Disgust,2016-07-01 9:45:00,CorruptedHeart,Instagram,#Disgust #Corruption,7,15,UK,2016,7,1,9
190,192," Sinking in despair, each day darker than the last. ",Despair,2020-08-20 20:20:00,DrowningSoul,Facebook,#Despair #DarkDays,10,20,India,2020,8,20,20
191,193," Grief overwhelms, a storm of emotions within.      ",Grief,2021-02-25 15:30:00,StormyHeart,Twitter,#Grief #EmotionalStorm,12,25,Canada,2021,2,25,15
192,194," Loneliness echoes in empty spaces, yearning for connection.",Loneliness,2019-09-12 18:10:00,EchoingSoul,Instagram,#Loneliness #YearningForConnection,15,30,Australia,2019,9,12,18
193,195," Jealousy poisons my thoughts, resentment brewing within.",Jealousy,2018-08-05 16:30:00,PoisonedMind,Facebook,#Jealousy #Resentment,8,15,USA,2018,8,5,16
194,196," Resentment festers, a wound that refuses to heal.  ",Resentment,2017-01-12 12:00:00,UnforgivingSoul,Twitter,#Resentment #Unforgiving,10,20,India,2017,1,12,12
195,197," Frustration escalates, a thunderstorm of emotions. ",Frustration,2022-04-05 14:45:00,ThunderingMind,Instagram,#Frustration #EmotionalOutburst,12,25,UK,2022,4,5,14
196,198," Boredom lingers, a stagnant pool of indifference.  ",Boredom,2021-10-02 19:00:00,StagnantHeart,Facebook,#Boredom #Stagnation,7,15,Canada,2021,10,2,19
197,199," Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",Curiosity,2023-04-15 10:15:00,InquisitiveMind,Twitter,#Curiosity #Learning,15,30,USA,2023,4,15,10
198,200," Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Indifference,2022-11-28 17:30:00,ApatheticObserver,Instagram,#Indifference #DigitalOverload,7,15,Canada,2022,11,28,17
199,201," The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",Confusion,2020-04-02 9:45:00,SeekingClarity,Facebook,#Confusion #LifePuzzle,10,20,UK,2020,4,2,9
